position,Job_category,people_number,site,time
19511-游戏学院产业研究经理(深圳）,产品/项目类,1,深圳,2019-04-08
TME-TME-QQ音乐创新平台iOS开发工程师（深圳）,技术类,1,深圳,2019-04-08
15605-移动游戏平台运营（深圳）,产品/项目类,1,深圳,2019-04-08
XTB-秘书（深圳）,职能类,1,深圳,2019-04-08
18427-iOS移动客户端开发高级工程师,技术类,1,深圳,2019-04-08
27092-应用宝商业化内部合作经理（深圳）,产品/项目类,1,深圳,2019-04-08
PCG14-推荐算法工程师（深圳）,技术类,1,深圳,2019-04-08
22850-数据分析师（策略分析方向）,市场类,1,北京,2019-04-08
25926-游戏安全高级产品策划（深圳）,产品/项目类,1,深圳,2019-04-08
25926-游戏安全高级产品运营（深圳）,产品/项目类,1,深圳,2019-04-08
TME-腾讯音乐后台策略安全（深圳）,技术类,2,深圳,2019-04-08
30625-腾讯广告方案高级策划经理-金融方向（北京）,市场类,1,北京,2019-04-08
PCG10-浏览器产品经理,产品/项目类,1,北京,2019-04-08
18435-项目经理,产品/项目类,1,深圳,2019-04-08
18435-风控产品经理,产品/项目类,2,深圳,2019-04-08
TME-QQ音乐营收产品策划（深圳）,产品/项目类,1,深圳,2019-04-08
25928-游戏AI研究组长/总监（美国）,技术类,1,美国,2019-04-08
26832-招聘专员(英文/日文),职能类,5,深圳,2019-04-08
